district_id,staff_scope,year_old,lct_value_old,minutes_old,minutes_source_old,enrollment_old,staff_old,data_tier_old,year_new,lct_value_new,minutes_new,minutes_source_new,enrollment_new,staff_new,data_tier_new,year_span,within_window,_merge,delta
0100720,instructional,2023-24,25.81,360.0,state_requirement,2084.0,149.44,3.0,2023-24,25.815,360,state_requirement,2084,149.44,3,0,True,both,0.005000000000002558
0101260,all,2023-24,46.5,360.0,state_requirement,602.0,77.75,3.0,2023-24,46.495,360,state_requirement,602,77.75,3,0,True,both,-0.005000000000002558
0102370,teachers_secondary,2023-24,20.78,385.0,bell_schedule_elementary,25574.0,1380.0,2.0,2023-24,20.775,385,bell_schedule_elementary,25574,1380.0,2,2,True,both,-0.005000000000002558
0103150,instructional_plus_support,2023-24,27.65,360.0,state_requirement,1484.0,114.0,3.0,2023-24,27.655,360,state_requirement,1484,114.0,3,0,True,both,0.005000000000002558
0200001,teachers_elementary,2023-24,16.98,300.0,state_requirement,1820.0,103.04,3.0,2023-24,14.9465,264,state_requirement,1820,103.04,3,0,True,both,-2.0335
0200003,teachers_elementary,2023-24,19.41,300.0,state_requirement,949.0,61.41,3.0,2023-24,17.0835,264,state_requirement,949,61.41,3,0,True,both,-2.3264999999999993
0200004,teachers_core,2023-24,21.42,300.0,state_requirement,506.0,36.12,3.0,2023-24,21.415,300,state_requirement,506,36.12,3,0,True,both,-0.005000000000002558
0200004,teachers_elementary,2023-24,14.92,300.0,state_requirement,251.0,12.48,3.0,2023-24,13.1264,264,state_requirement,251,12.48,3,0,True,both,-1.7935999999999996
0200004,teachers_only,2023-24,21.42,300.0,state_requirement,506.0,36.12,3.0,2023-24,21.415,300,state_requirement,506,36.12,3,0,True,both,-0.005000000000002558
0200005,teachers_elementary,2023-24,27.14,300.0,state_requirement,148.0,13.39,3.0,2023-24,23.8849,264,state_requirement,148,13.39,3,0,True,both,-3.2551000000000023
0200007,teachers_elementary,2023-24,42.47,300.0,state_requirement,70.0,9.91,3.0,2023-24,37.3749,264,state_requirement,70,9.91,3,0,True,both,-5.095100000000002
0200010,teachers_elementary,2023-24,9.0,300.0,state_requirement,7.0,0.21,3.0,2023-24,7.92,264,state_requirement,7,0.21,3,0,True,both,-1.08
0200020,teachers_elementary,2023-24,32.66,300.0,state_requirement,740.0,80.57,3.0,2023-24,28.7439,264,state_requirement,740,80.57,3,0,True,both,-3.9160999999999966
0200030,teachers_elementary,2023-24,32.43,300.0,state_requirement,47.0,5.08,3.0,2023-24,28.5345,264,state_requirement,47,5.08,3,0,True,both,-3.8954999999999984
0200050,teachers_elementary,2023-24,25.34,300.0,state_requirement,155.0,13.09,3.0,2023-24,22.2952,264,state_requirement,155,13.09,3,0,True,both,-3.0447999999999986
0200060,teachers_core,2023-24,23.42,300.0,state_requirement,359.0,28.02,3.0,2023-24,23.415,300,state_requirement,359,28.02,3,0,True,both,-0.005000000000002558
0200060,teachers_elementary,2023-24,22.31,300.0,state_requirement,201.0,14.95,3.0,2023-24,19.6358,264,state_requirement,201,14.95,3,0,True,both,-2.674199999999999
0200060,teachers_only,2023-24,23.42,300.0,state_requirement,359.0,28.02,3.0,2023-24,23.415,300,state_requirement,359,28.02,3,0,True,both,-0.005000000000002558
0200070,teachers_elementary,2023-24,19.17,300.0,state_requirement,187.0,11.95,3.0,2023-24,16.8706,264,state_requirement,187,11.95,3,0,True,both,-2.299400000000002
