district_id,staff_scope,year,lct_value_bell,minutes,minutes_source_bell,enrollment,staff,data_tier,year_span,within_window,lct_value_wiped,minutes_source_wiped,_merge,delta
0100270,all,2023-24,55.0407,450,bell_schedule_elementary,30998,3791.45,2,2,True,44.0326,state_requirement,both,-11.008099999999999
0100270,core_sped,2023-24,360.0,450,bell_schedule_elementary,146,121.41,2,2,True,299.3671,state_requirement,both,-60.63290000000001
0100270,instructional,2023-24,33.1163,450,bell_schedule_elementary,30998,2281.2,2,2,True,26.4931,state_requirement,both,-6.623200000000004
0100270,instructional_plus_support,2023-24,36.8176,450,bell_schedule_elementary,30998,2536.16,2,2,True,29.4541,state_requirement,both,-7.363499999999998
0100270,teachers_core,2023-24,28.0082,450,bell_schedule_elementary,30998,1929.33,2,2,True,22.4066,state_requirement,both,-5.601599999999998
0100270,teachers_elementary,2023-24,33.4197,450,bell_schedule,14041,1042.77,1,2,True,26.7358,state_requirement,both,-6.683899999999998
0100270,teachers_gened,2023-24,26.3123,450,bell_schedule_elementary,31672,1851.92,2,2,True,21.0499,state_requirement,both,-5.2623999999999995
0100270,teachers_only,2023-24,28.0082,450,bell_schedule_elementary,30998,1929.33,2,2,True,22.4066,state_requirement,both,-5.601599999999998
0100270,teachers_secondary,2023-24,23.5273,450,bell_schedule_elementary,16957,886.56,2,2,True,18.8218,state_requirement,both,-4.705500000000001
0102370,all,2023-24,45.3616,385,bell_schedule_elementary,49372,5817.13,2,2,True,42.4161,state_requirement,both,-2.9455000000000027
0102370,core_sped,2023-24,320.1588,385,bell_schedule_elementary,234,194.59,2,2,True,299.3692,state_requirement,both,-20.789600000000007
0102370,instructional,2023-24,25.9489,385,bell_schedule_elementary,49372,3327.66,2,2,True,24.2639,state_requirement,both,-1.6849999999999987
0102370,instructional_plus_support,2023-24,27.7572,385,bell_schedule_elementary,49372,3559.56,2,2,True,25.9548,state_requirement,both,-1.8024000000000022
0102370,teachers_core,2023-24,21.9376,385,bell_schedule_elementary,49372,2813.25,2,2,True,20.513,state_requirement,both,-1.424599999999998
0102370,teachers_elementary,2023-24,23.1869,385,bell_schedule,23798,1433.25,1,2,True,21.6812,state_requirement,both,-1.505700000000001
0102370,teachers_gened,2023-24,20.3885,385,bell_schedule_elementary,50695,2684.66,2,2,True,19.0646,state_requirement,both,-1.3239000000000019
0102370,teachers_only,2023-24,21.9376,385,bell_schedule_elementary,49372,2813.25,2,2,True,20.513,state_requirement,both,-1.424599999999998
0102370,teachers_secondary,2023-24,20.775,385,bell_schedule_elementary,25574,1380.0,2,2,True,19.426,state_requirement,both,-1.3490000000000002
0200180,all,2023-24,49.0107,390,bell_schedule,42424,5331.36,1,2,True,37.7005,state_requirement,both,-11.310200000000002
0200180,core_sped,2023-24,269.8711,390,bell_schedule,263,181.99,1,2,True,207.5932,state_requirement,both,-62.27790000000002
0200180,instructional,2023-24,28.0128,390,bell_schedule,42424,3047.22,1,2,True,21.5483,state_requirement,both,-6.4644999999999975
0200180,instructional_plus_support,2023-24,31.4742,390,bell_schedule,42424,3423.75,1,2,True,24.2109,state_requirement,both,-7.263300000000001
0200180,teachers_core,2023-24,21.6808,390,bell_schedule,42424,2358.43,1,2,True,16.6776,state_requirement,both,-5.0032
0200180,teachers_elementary,2023-24,23.1972,390,bell_schedule,19442,1156.41,1,2,True,15.7027,state_requirement,both,-7.494499999999999
0200180,teachers_gened,2023-24,20.2158,390,bell_schedule,43100,2234.1,1,2,True,15.5506,state_requirement,both,-4.665200000000002
0200180,teachers_only,2023-24,21.6808,390,bell_schedule,42424,2358.43,1,2,True,16.6776,state_requirement,both,-5.0032
0200180,teachers_secondary,2023-24,20.398,390,bell_schedule,22982,1202.02,1,2,True,15.6908,state_requirement,both,-4.7072
0200510,all,2023-24,35.831,390,bell_schedule,19271,1770.51,1,2,True,27.5623,state_requirement,both,-8.268700000000003
0200510,core_sped,2023-24,269.8602,390,bell_schedule,118,81.65,1,2,True,207.5847,state_requirement,both,-62.27550000000002
0200510,instructional,2023-24,27.2968,390,bell_schedule,19271,1348.81,1,2,True,20.9975,state_requirement,both,-6.299300000000002
0200510,instructional_plus_support,2023-24,30.4615,390,bell_schedule,19271,1505.19,1,2,True,23.4319,state_requirement,both,-7.029600000000002
0200510,teachers_core,2023-24,20.2957,390,bell_schedule,19271,1002.87,1,2,True,15.6121,state_requirement,both,-4.6836
0200510,teachers_elementary,2023-24,21.2376,390,bell_schedule_high,8942,486.94,2,2,True,14.3762,state_requirement,both,-6.8614
0200510,teachers_gened,2023-24,19.1377,390,bell_schedule,19303,947.22,1,2,True,14.7213,state_requirement,both,-4.416399999999999
0200510,teachers_only,2023-24,20.2957,390,bell_schedule,19271,1002.87,1,2,True,15.6121,state_requirement,both,-4.6836
0200510,teachers_secondary,2023-24,19.4804,390,bell_schedule,10329,515.93,1,2,True,14.9849,state_requirement,both,-4.4955
0200600,all,2023-24,50.2218,390,bell_schedule_elementary,12365,1592.29,2,2,True,38.6322,state_requirement,both,-11.589600000000004
0200600,core_sped,2023-24,269.8697,390,bell_schedule_elementary,76,52.59,2,2,True,207.5921,state_requirement,both,-62.277600000000035
0200600,instructional,2023-24,30.4481,390,bell_schedule_elementary,12365,965.36,2,2,True,23.4216,state_requirement,both,-7.026499999999999
0200600,instructional_plus_support,2023-24,33.8261,390,bell_schedule_elementary,12365,1072.46,2,2,True,26.0201,state_requirement,both,-7.805999999999997
0200600,teachers_core,2023-24,20.3954,390,bell_schedule_elementary,12365,646.64,2,2,True,15.6888,state_requirement,both,-4.706599999999998
0200600,teachers_elementary,2023-24,20.9778,390,bell_schedule,5938,319.4,1,2,True,14.2003,state_requirement,both,-6.777499999999998
0200600,teachers_gened,2023-24,18.8993,390,bell_schedule_elementary,12465,604.05,2,2,True,14.5379,state_requirement,both,-4.3614
0200600,teachers_only,2023-24,20.3954,390,bell_schedule_elementary,12365,646.64,2,2,True,15.6888,state_requirement,both,-4.706599999999998
0200600,teachers_secondary,2023-24,19.8574,390,bell_schedule_elementary,6427,327.24,2,2,True,15.2749,state_requirement,both,-4.582499999999998
0401870,all,2023-24,48.4184,415,bell_schedule,41923,4891.19,1,2,True,28.001,state_requirement,both,-20.417399999999997
0401870,core_sped,2023-24,165.3285,415,bell_schedule,377,150.19,1,2,True,95.6117,state_requirement,both,-69.71679999999999
0401870,instructional,2023-24,30.076,415,bell_schedule,41923,3038.26,1,2,True,17.3934,state_requirement,both,-12.6826
0401870,instructional_plus_support,2023-24,37.2565,415,bell_schedule,41923,3763.62,1,2,True,21.5459,state_requirement,both,-15.710600000000003
0401870,instructional_sped,2023-24,360.0,415,bell_schedule,377,352.56,1,2,True,224.4414,state_requirement,both,-135.5586
0401870,teachers_core,2023-24,23.8284,415,bell_schedule,41923,2407.13,1,2,True,13.7803,state_requirement,both,-10.048099999999998
0401870,teachers_elementary,2023-24,37.1984,390,bell_schedule,15627,1490.51,1,2,True,25.4666,state_requirement,both,-11.7318
0401870,teachers_gened,2023-24,22.2973,415,bell_schedule,42455,2281.04,1,2,True,12.8948,state_requirement,both,-9.4025
0401870,teachers_only,2023-24,23.8284,415,bell_schedule,41923,2407.13,1,2,True,13.7803,state_requirement,both,-10.048099999999998
0401870,teachers_secondary,2023-24,14.466,415,bell_schedule,26296,916.62,1,2,True,8.3659,state_requirement,both,-6.100099999999999
0404970,all,2023-24,54.6798,405,bell_schedule_middle,55172,7448.88,2,2,True,32.4029,state_requirement,both,-22.276899999999998
0404970,core_sped,2023-24,161.3398,405,bell_schedule_middle,503,200.38,2,2,True,95.6087,state_requirement,both,-65.7311
0404970,instructional,2023-24,32.6356,405,bell_schedule_middle,55172,4445.85,2,2,True,19.3396,state_requirement,both,-13.295999999999996
0404970,instructional_plus_support,2023-24,41.6493,405,bell_schedule_middle,55172,5673.77,2,2,True,24.6811,state_requirement,both,-16.968199999999996
0404970,instructional_sped,2023-24,360.0,405,bell_schedule_middle,503,470.4,2,2,True,224.4453,state_requirement,both,-135.5547
0404970,teachers_core,2023-24,23.6545,405,bell_schedule_middle,55172,3222.38,2,2,True,14.0175,state_requirement,both,-9.636999999999999
