priority_rank,priority,state_code,state_name,category,availability,access,year,format,urls,state_flags,notes
1,confirmed-manual,AR,Arkansas,enrollment,confirmed,dashboard-export,2025-26,"CSV (via ASP.NET postback export, not a plain URL)",https://adedata.arkansas.gov/statewide/reportlist/districts/EnrollmentCount.aspx,follow-up-manual; dashboard-only,"Strong flat-file source with a confirmed crosswalk; enrollment/staffing CSV needs a browser (ASP.NET postback export, not a plain URL) — FRPM/ELL data is stale/proxy only."
1,confirmed-manual,AR,Arkansas,staffing,confirmed,dashboard-export,2025-26,"CSV (via ASP.NET postback export, not a plain URL)",https://adedata.arkansas.gov/statewide/reportlist/districts/CertifiedPersonnel.aspx,follow-up-manual; dashboard-only,"Strong flat-file source with a confirmed crosswalk; enrollment/staffing CSV needs a browser (ASP.NET postback export, not a plain URL) — FRPM/ELL data is stale/proxy only."
1,confirmed-manual,AS,American Samoa,crosswalk_ids,confirmed,dashboard-export,2022-23,"NCES CCD School Search (single statewide LEA, ID 6000030)",https://nces.ed.gov/ccd/schoolsearch/school_list.asp,dashboard-only; follow-up-manual,"Correction to Jan-2026 ""NCES-only"" — real SPED/LRE data exists and is current (FFY24); enrollment/staffing/FRPM stuck at 2020-21."
1,confirmed-manual,GU,Guam,crosswalk_ids,confirmed,dashboard-export,2024-25,"NCES CCD web lookup (single statewide LEA, ID 6600002)",https://nces.ed.gov/ccd/districtsearch/district_detail.asp,dashboard-only; follow-up-manual,"Correction to Jan-2026 ""limited public access"" — SPED data reports page is genuinely current (Dec 2024 child count), but needs the specific Google Sheet links resolved before it's acquirable."
1,confirmed-manual,IL,Illinois,crosswalk_ids,confirmed,dashboard-export,2025-26,"Excel (linked from a landing page, not a direct file)",https://www.isbe.net/pages/data-analysis-directories.aspx,refresh-candidate; follow-up-manual,"Manual open of the 2024-25 Report Card Public Data Set needed to confirm SPED-teacher-split field before re-import — every recorded URL is a landing page, not a direct file link."
1,confirmed-manual,IL,Illinois,enrollment,confirmed,dashboard-export,2024-25,"Excel (linked from a landing page, not a direct file)",https://www.isbe.net/pages/illinois-state-report-card-data.aspx,refresh-candidate; follow-up-manual,"Manual open of the 2024-25 Report Card Public Data Set needed to confirm SPED-teacher-split field before re-import — every recorded URL is a landing page, not a direct file link."
1,confirmed-manual,KS,Kansas,enrollment,confirmed,dashboard-export,2024-25,Excel,https://datacentral.ksde.gov/report_gen.aspx,follow-up-manual,Real report-generator tool once past a tool-side TLS quirk; export each report to build the dataset.
1,confirmed-manual,KS,Kansas,sped,confirmed,dashboard-export,2024-25,Excel,https://datacentral.ksde.gov/report_gen.aspx,follow-up-manual,Real report-generator tool once past a tool-side TLS quirk; export each report to build the dataset.
1,confirmed-manual,KS,Kansas,staffing,confirmed,dashboard-export,2024-25,Excel,https://datacentral.ksde.gov/report_gen.aspx,follow-up-manual,Real report-generator tool once past a tool-side TLS quirk; export each report to build the dataset.
1,confirmed-manual,MI,Michigan,crosswalk_ids,confirmed,dashboard-export,current-rolling,CSV/Excel/XML,https://cepi.state.mi.us/eem/publicdatasets.aspx,refresh-candidate,"Best-confirmed refresh of the three (IL/MI/NY): direct-download links in hand for enrollment/staffing/SPED at 2024-25, crosswalk confirmed current."
1,confirmed-manual,MP,Northern Mariana Islands,enrollment,confirmed,dashboard-export,2024-25,"Dashboard (Google Sheets, CSV-exportable) + PDF",https://envisioncnmipss.org/district-data; https://opa.cnmi.gov/storage/2026/03/CNMI-Public-School-System-FY-2025-CCR.pdf,dashboard-only; follow-up-manual,"Correction to Jan-2026 ""limited"" — a real dashboard portal (EnVision PSS) with CSV-exportable sheets now exists."
1,confirmed-manual,MP,Northern Mariana Islands,sped,confirmed,dashboard-export,2024-25,"Dashboard (Enrollment, LRE/setting charts, assessment participation) + PDF (total count only)",https://envisioncnmipss.org/sped-data-1; https://envisioncnmipss.org/program-data-1,dashboard-only; follow-up-manual,"Correction to Jan-2026 ""limited"" — a real dashboard portal (EnVision PSS) with CSV-exportable sheets now exists."
1,confirmed-manual,MP,Northern Mariana Islands,staffing,confirmed,dashboard-export,2024-25,Dashboard (Teacher-Student Ratio chart) + PDF summary,https://envisioncnmipss.org/district-data,dashboard-only; follow-up-manual,"Correction to Jan-2026 ""limited"" — a real dashboard portal (EnVision PSS) with CSV-exportable sheets now exists."
1,confirmed-manual,OH,Ohio,crosswalk_ids,confirmed,dashboard-export,current,CSV/Excel (custom extract),https://oeds.education.ohio.gov/dataextract,dashboard-only; follow-up-manual; request-only,"Enrollment + SPED ready to acquire now; staffing needs a login, data.ohio.gov open-data catalog appears dead."
1,confirmed-manual,RI,Rhode Island,enrollment,confirmed,dashboard-export,2024-25,Excel,https://datacenter.ride.ri.gov/Data/EnrollmentDashboard,dashboard-only; request-only,"RIDE Data Center, 618 data collections (format unclear)"
2,partial-manual,AK,Alaska,sped,reported-partial,dashboard-export,2024-25,Dashboard (no direct download found),https://education.alaska.gov/rcsped/,api-available,"Previously-undocumented ArcGIS REST API — strong new lead, not in the Jan-2026 assessment."
2,partial-manual,AL,Alabama,crosswalk_ids,reported-partial,dashboard-export,unknown,Dashboard (no direct download found),https://eddir.alsde.edu/siteinfo/,follow-up-manual,Enrollment/staffing/FRPM ready to acquire; SPED needs ~140 per-district PDF pulls.
2,partial-manual,AR,Arkansas,frpm_ell,reported-partial,direct-download,2020-21,CSV/Excel/PDF/XML,https://adedata.arkansas.gov/statewide/reportlist/districts/FreeReducedPaidLunch.aspx,follow-up-manual; dashboard-only,"Strong flat-file source with a confirmed crosswalk; enrollment/staffing CSV needs a browser (ASP.NET postback export, not a plain URL) — FRPM/ELL data is stale/proxy only."
2,partial-manual,AZ,Arizona,enrollment,reported-partial,blocked,2024-25,Excel (implied),https://www.azed.gov/data/public-data-sets/,blocked; follow-up-manual,"Genuine Cloudflare block on a state marked ""high priority"" in the seed — worth a real browser session, likely rich data behind it."
2,partial-manual,AZ,Arizona,frpm_ell,reported-partial,blocked,2024-25,Excel (implied),https://www.azed.gov/data/public-data-sets/,blocked; follow-up-manual,"Genuine Cloudflare block on a state marked ""high priority"" in the seed — worth a real browser session, likely rich data behind it."
2,partial-manual,AZ,Arizona,sped,reported-partial,blocked,2018-19,PDF,https://www.azed.gov/sites/default/files/2022/05/Special%20Education%20Phase%20I%20Report%20-%20Issued%20-%205.12.2022%20(002)%20acc_0.pdf,blocked; follow-up-manual,"Genuine Cloudflare block on a state marked ""high priority"" in the seed — worth a real browser session, likely rich data behind it."
2,partial-manual,AZ,Arizona,staffing,reported-partial,blocked,2018-19,Excel (implied),https://www.azed.gov/data/public-data-sets/,blocked; follow-up-manual,"Genuine Cloudflare block on a state marked ""high priority"" in the seed — worth a real browser session, likely rich data behind it."
2,partial-manual,CO,Colorado,sped,reported-partial,direct-download,2024-25,Excel,https://ed.cde.state.co.us/cdereval/pupilmembership-statistics/data-insights-resources-archives,dashboard-only; follow-up-manual,Strong enrollment/FRPM source; staffing is a dashboard landing page not a real file link; crosswalk file exists but has no NCES field.
2,partial-manual,CO,Colorado,staffing,reported-partial,dashboard-export,2025-26,Dashboard (page confirmed live; no direct file link resolved),https://ed.cde.state.co.us/cdereval/staffstatistics,dashboard-only; follow-up-manual,Strong enrollment/FRPM source; staffing is a dashboard landing page not a real file link; crosswalk file exists but has no NCES field.
2,partial-manual,DC,District of Columbia,sped,reported-partial,direct-download,2024-25,Excel,https://osse.dc.gov/sites/default/files/dc/sites/osse/page_content/attachments/DC%20School%20Report%20Card%20Aggregate%20Enrollment%20Data%20%282025%29.xlsx; https://osse.dc.gov/page/lea-special-education-performance-reports-sepr,dashboard-only; request-only,"One file covers enrollment+SWD+EL+econ-disadvantaged together; staffing is headcount not FTE, no crosswalk found."
2,partial-manual,GU,Guam,frpm_ell,reported-partial,direct-download,2023-24,PDF,http://files.eric.ed.gov/fulltext/ED671519.pdf,dashboard-only; follow-up-manual,"Correction to Jan-2026 ""limited public access"" — SPED data reports page is genuinely current (Dec 2024 child count), but needs the specific Google Sheet links resolved before it's acquirable."
2,partial-manual,GU,Guam,sped,reported-partial,dashboard-export,2024-25,"Excel/Google Sheets (linked from an index page, not a direct file)",https://www.gdoe.net/District/Department/2-Special-Education/2689-Data-reports.html,dashboard-only; follow-up-manual,"Correction to Jan-2026 ""limited public access"" — SPED data reports page is genuinely current (Dec 2024 child count), but needs the specific Google Sheet links resolved before it's acquirable."
