state,staff_scope,count,mean,median,std
AK,all,54,60.73,55.5,26.3
AK,core_sped,50,208.59,207.46,5.06
AK,instructional,54,35.18,33.73,15.14
AK,instructional_plus_support,54,37.39,37.1,15.21
AK,instructional_sped,50,360.0,360.0,0.0
AK,teachers_core,54,23.82,23.35,9.4
AK,teachers_elementary,53,23.6,22.9,10.35
AK,teachers_gened,54,22.16,22.14,9.2
AK,teachers_only,54,23.82,23.35,9.4
AK,teachers_secondary,54,24.94,23.72,12.28
AL,all,150,40.48,40.17,6.7
AL,core_sped,150,299.5,299.38,1.36
AL,instructional,150,25.33,25.28,3.83
AL,instructional_plus_support,150,27.64,27.66,4.21
AL,instructional_sped,150,360.0,360.0,0.0
AL,teachers_core,150,20.79,21.04,3.05
AL,teachers_elementary,147,22.92,23.3,3.6
AL,teachers_gened,150,19.55,19.71,3.07
AL,teachers_only,150,20.79,21.04,3.05
AL,teachers_secondary,147,19.1,19.2,3.5
AR,all,257,69.0,65.7,19.75
AR,core_sped,259,191.99,192.0,0.26
AR,instructional,260,47.47,43.01,28.16
AR,instructional_plus_support,260,54.82,49.8,33.37
AR,instructional_sped,259,316.75,316.8,0.08
AR,teachers_core,260,36.46,32.76,16.21
AR,teachers_elementary,250,36.95,34.54,14.21
AR,teachers_gened,260,35.21,31.34,16.59
AR,teachers_only,260,34.49,31.05,15.64
AR,teachers_secondary,258,31.96,27.25,23.11
AZ,all,212,45.09,35.02,32.31
AZ,core_sped,186,96.48,95.62,6.03
AZ,instructional,208,25.73,21.27,16.51
AZ,instructional_plus_support,210,31.13,25.24,19.83
AZ,instructional_sped,186,226.48,224.45,14.15
AZ,teachers_core,201,17.82,14.51,12.49
AZ,teachers_elementary,175,25.81,22.45,12.92
AZ,teachers_gened,201,16.71,13.33,12.33
AZ,teachers_only,201,17.82,14.51,12.49
AZ,teachers_secondary,131,12.58,9.05,14.16
BI,all,172,84.65,76.58,45.4
BI,instructional,174,42.04,36.33,26.45
BI,instructional_plus_support,174,49.59,44.36,31.69
BI,teachers_core,174,30.51,26.59,20.16
BI,teachers_elementary,147,40.98,36.0,27.85
BI,teachers_only,174,28.54,25.33,16.73
BI,teachers_secondary,60,22.36,21.4,12.06
CA,all,1954,46.77,39.15,35.63
CA,core_sped,1654,36.54,54.0,22.66
CA,instructional,1970,28.88,24.16,20.38
CA,instructional_plus_support,1968,30.54,25.56,22.22
CA,instructional_sped,1654,140.89,208.8,86.01
CA,teachers_core,1972,19.13,17.24,8.51
CA,teachers_elementary,1531,30.48,24.74,26.96
CA,teachers_gened,1646,18.51,17.07,10.93
CA,teachers_only,1972,19.13,17.24,8.51
CA,teachers_secondary,962,15.59,13.54,9.36
CO,all,180,69.59,61.72,29.85
CO,core_sped,161,359.98,360.0,0.29
CO,instructional,181,44.14,39.66,17.74
CO,instructional_plus_support,181,49.39,43.97,20.9
CO,instructional_sped,161,360.0,360.0,0.0
CO,teachers_core,181,31.3,27.0,13.92
CO,teachers_elementary,181,38.01,32.25,17.78
CO,teachers_gened,181,28.93,24.77,13.01
CO,teachers_only,181,31.3,27.0,13.92
CO,teachers_secondary,181,26.63,22.6,13.8
CT,all,195,71.76,65.63,32.81
CT,core_sped,184,360.0,360.0,0.0
CT,instructional,195,44.7,41.04,21.9
CT,instructional_plus_support,195,49.92,45.6,25.69
CT,instructional_sped,184,360.0,360.0,0.0
CT,teachers_core,195,29.56,26.92,16.74
CT,teachers_elementary,177,40.09,37.29,20.94
CT,teachers_gened,195,25.62,22.93,16.56
CT,teachers_only,195,29.56,26.92,16.74
CT,teachers_secondary,175,17.72,16.93,16.78
DC,all,68,88.32,81.22,47.03
DC,core_sped,58,243.99,243.77,1.4
DC,instructional,66,46.81,46.03,21.66
DC,instructional_plus_support,65,64.21,60.7,34.7
DC,instructional_sped,58,360.0,360.0,0.0
DC,teachers_core,62,35.89,33.74,12.77
DC,teachers_elementary,44,43.97,38.69,29.69
DC,teachers_gened,62,33.35,30.88,13.42
DC,teachers_only,62,35.89,33.74,12.77
DC,teachers_secondary,41,32.31,30.0,14.83
DE,all,40,27.56,26.54,9.81
DE,core_sped,38,79.92,76.03,13.61
DE,instructional,40,19.7,18.2,7.32
DE,instructional_plus_support,40,22.34,20.49,8.44
DE,instructional_sped,38,205.43,195.3,34.96
DE,teachers_core,40,15.01,13.68,4.74
DE,teachers_elementary,32,16.71,15.84,5.89
DE,teachers_gened,40,14.39,13.22,4.64
DE,teachers_only,40,15.01,13.68,4.74
DE,teachers_secondary,39,13.48,12.33,4.85
FL,all,81,40.95,40.67,19.33
FL,core_sped,79,262.96,282.43,94.19
FL,instructional,82,25.6,23.9,18.54
FL,instructional_plus_support,82,32.1,28.09,30.39
FL,instructional_sped,81,204.29,201.07,11.24
FL,teachers_core,81,17.66,17.57,4.98
FL,teachers_elementary,77,16.48,16.68,2.6
FL,teachers_gened,81,20.53,19.06,10.85
FL,teachers_only,80,14.69,14.74,2.49
