staff_scope,count,mean,median,std,min,max,districts
all,17108,58.21,52.88,29.27,0.35,359.79,17108
core_sped,15906,186.65,186.23,90.46,0.25,360.0,15906
instructional,17183,37.16,33.13,23.24,0.17,359.38,17183
instructional_plus_support,17143,40.78,36.75,23.09,0.17,355.62,17143
instructional_sped,15908,299.05,340.9,83.36,0.97,360.0,15908
teachers_core,17162,27.99,25.22,17.03,0.19,352.14,17162
teachers_elementary,15585,33.77,30.01,20.13,0.12,360.0,15585
teachers_gened,16655,26.19,23.54,15.2,0.25,350.0,16655
teachers_only,17144,26.68,24.2,15.13,0.1,350.0,17144
teachers_secondary,14135,22.19,19.52,15.46,0.05,357.14,14135
