district_id,district_name,state,enrollment,instructional_staff,year,data_source,daily_instructional_minutes,lct_minutes,lct_hours,student_teacher_ratio,lct_percentile,lct_category
100005,Albertville City,AL,5821.0,314.5,2023-24,nces_ccd,360,19.45,0.32,18.5,17.8,Low (15-20 min)
100006,Marshall County,AL,6040.0,356.45,2023-24,nces_ccd,360,21.25,0.35,16.9,24.6,Moderate (20-25 min)
100007,Hoover City,AL,13524.0,907.75,2023-24,nces_ccd,360,24.16,0.4,14.9,38.5,Moderate (20-25 min)
100008,Madison City,AL,12736.0,745.7,2023-24,nces_ccd,360,21.08,0.35,17.1,23.9,Moderate (20-25 min)
100011,Leeds City,AL,2244.0,120.0,2023-24,nces_ccd,360,19.25,0.32,18.7,17.1,Low (15-20 min)
100012,Boaz City,AL,2554.0,148.15,2023-24,nces_ccd,360,20.88,0.35,17.2,22.9,Moderate (20-25 min)
100013,Trussville City,AL,5012.0,302.65,2023-24,nces_ccd,360,21.74,0.36,16.6,26.5,Moderate (20-25 min)
100030,Alexander City,AL,2849.0,165.5,2023-24,nces_ccd,360,20.91,0.35,17.2,23.1,Moderate (20-25 min)
100060,Andalusia City,AL,1884.0,109.0,2023-24,nces_ccd,360,20.83,0.35,17.3,22.7,Moderate (20-25 min)
100090,Anniston City,AL,1909.0,103.67,2023-24,nces_ccd,360,19.55,0.33,18.4,18.2,Low (15-20 min)
100100,Arab City,AL,2637.0,156.55,2023-24,nces_ccd,360,21.37,0.36,16.8,25.0,Moderate (20-25 min)
100120,Athens City,AL,5034.0,270.3,2023-24,nces_ccd,360,19.33,0.32,18.6,17.4,Low (15-20 min)
100180,Attalla City,AL,1538.0,84.45,2023-24,nces_ccd,360,19.77,0.33,18.2,19.0,Low (15-20 min)
100185,Saraland City,AL,3488.0,198.0,2023-24,nces_ccd,360,20.44,0.34,17.6,21.2,Moderate (20-25 min)
100188,Chickasaw City,AL,2559.0,68.0,2023-24,nces_ccd,360,9.57,0.16,37.6,3.3,Very Low (<15 min)
100189,Satsuma City,AL,1494.0,84.5,2023-24,nces_ccd,360,20.36,0.34,17.7,21.0,Moderate (20-25 min)
100190,Alabaster City,AL,6348.0,373.09,2023-24,nces_ccd,360,21.16,0.35,17.0,24.2,Moderate (20-25 min)
100194,Pelham City,AL,3448.0,217.53,2023-24,nces_ccd,360,22.71,0.38,15.9,31.2,Moderate (20-25 min)
100195,Pike Road City,AL,2787.0,156.0,2023-24,nces_ccd,360,20.15,0.34,17.9,20.3,Moderate (20-25 min)
100197,MAEF Public Charter Schools,AL,712.0,23.0,2023-24,nces_ccd,360,11.63,0.19,31.0,4.0,Very Low (<15 min)
100199,University Charter School,AL,699.0,35.08,2023-24,nces_ccd,360,18.07,0.3,19.9,13.8,Low (15-20 min)
100201,Legacy Prep,AL,438.0,19.0,2023-24,nces_ccd,360,15.62,0.26,23.1,7.9,Low (15-20 min)
100202,Gulf Shores City,AL,2644.0,152.0,2023-24,nces_ccd,360,20.7,0.34,17.4,22.2,Moderate (20-25 min)
100203,LEAD Academy,AL,758.0,30.0,2023-24,nces_ccd,360,14.25,0.24,25.3,5.7,Very Low (<15 min)
100204,i3 Academy,AL,718.0,31.0,2023-24,nces_ccd,360,15.54,0.26,23.2,7.7,Low (15-20 min)
100207,LIFE Academy,AL,528.0,17.0,2023-24,nces_ccd,360,11.59,0.19,31.1,4.0,Very Low (<15 min)
100208,Breakthrough Charter School,AL,339.0,20.0,2023-24,nces_ccd,360,21.24,0.35,17.0,24.6,Moderate (20-25 min)
100210,Auburn City,AL,9466.0,549.5,2023-24,nces_ccd,360,20.9,0.35,17.2,23.0,Moderate (20-25 min)
100211,Magic City Acceptance Academy,AL,343.0,24.0,2023-24,nces_ccd,360,25.19,0.42,14.3,44.3,High (25-30 min)
100213,Alabama Aerospace and Aviation,AL,168.0,7.0,2023-24,nces_ccd,360,15.0,0.25,24.0,6.6,Low (15-20 min)
100240,Autauga County,AL,8977.0,517.5,2023-24,nces_ccd,360,20.75,0.35,17.3,22.4,Moderate (20-25 min)
100270,Baldwin County,AL,31818.0,1973.33,2023-24,nces_ccd,360,22.33,0.37,16.1,29.3,Moderate (20-25 min)
100300,Barbour County,AL,679.0,35.0,2023-24,nces_ccd,360,18.56,0.31,19.4,15.0,Low (15-20 min)
100330,Bessemer City,AL,3121.0,151.0,2023-24,nces_ccd,360,17.42,0.29,20.7,12.1,Low (15-20 min)
100360,Bibb County,AL,3077.0,178.5,2023-24,nces_ccd,360,20.88,0.35,17.2,22.9,Moderate (20-25 min)
100390,Birmingham City,AL,20884.0,1118.1,2023-24,nces_ccd,360,19.27,0.32,18.7,17.2,Low (15-20 min)
100420,Blount County,AL,7706.0,426.28,2023-24,nces_ccd,360,19.91,0.33,18.1,19.4,Low (15-20 min)
100450,Brewton City,AL,1171.0,78.0,2023-24,nces_ccd,360,23.98,0.4,15.0,37.5,Moderate (20-25 min)
100480,Bullock County,AL,1367.0,74.0,2023-24,nces_ccd,360,19.49,0.32,18.5,18.0,Low (15-20 min)
100510,Butler County,AL,2795.0,154.3,2023-24,nces_ccd,360,19.87,0.33,18.1,19.3,Low (15-20 min)
100540,Calhoun County,AL,8021.0,490.8,2023-24,nces_ccd,360,22.03,0.37,16.3,27.9,Moderate (20-25 min)
100600,Chambers County,AL,3123.0,185.6,2023-24,nces_ccd,360,21.39,0.36,16.8,25.1,Moderate (20-25 min)
100630,Cherokee County,AL,3917.0,225.48,2023-24,nces_ccd,360,20.72,0.35,17.4,22.3,Moderate (20-25 min)
100660,Chilton County,AL,7930.0,434.0,2023-24,nces_ccd,360,19.7,0.33,18.3,18.7,Low (15-20 min)
100690,Choctaw County,AL,1034.0,64.5,2023-24,nces_ccd,360,22.46,0.37,16.0,29.9,Moderate (20-25 min)
100720,Clarke County,AL,2158.0,127.36,2023-24,nces_ccd,360,21.25,0.35,16.9,24.6,Moderate (20-25 min)
100750,Clay County,AL,1776.0,105.25,2023-24,nces_ccd,360,21.33,0.36,16.9,24.9,Moderate (20-25 min)
100780,Cleburne County,AL,2525.0,148.7,2023-24,nces_ccd,360,21.2,0.35,17.0,24.4,Moderate (20-25 min)
100810,Coffee County,AL,2904.0,161.0,2023-24,nces_ccd,360,19.96,0.33,18.0,19.6,Low (15-20 min)
100840,Colbert County,AL,2645.0,180.0,2023-24,nces_ccd,360,24.5,0.41,14.7,40.4,Moderate (20-25 min)
