state,sped_teachers_2017_18,sped_students_ages_6_21_2017_18,sped_teacher_per_student_ratio_2017_18,implied_students_per_sped_teacher,total_teachers_2023_24,total_enrollment_2023_24,districts_2023_24
AK,1146.51,33436.0,0.03429,29.2,7221.27,131243.0,54.0
AL,5296.64,164984.0,0.032104,31.1,42857.92,748650.0,150.0
AR,4697.13,118238.0,0.039726,25.2,38755.1,485188.0,260.0
AS,160.0,1198.0,0.133556,7.5,,,
AZ,7937.03,248370.0,0.031956,31.3,49260.47,878068.0,216.0
CA,24340.67,1367418.0,0.0178,56.2,268194.63,5837303.0,1985.0
CO,5888.71,175894.0,0.033479,29.9,53744.36,865661.0,187.0
CT,12170.58,141276.0,0.086148,11.6,43074.74,512652.0,201.0
DC,1425.15,23220.0,0.061376,16.3,8335.22,98800.0,72.0
DE,1194.27,41160.0,0.029015,34.5,9909.33,141842.0,42.0
FL,20697.09,699528.0,0.029587,33.8,155799.65,2872335.0,82.0
GA,18708.4,390868.0,0.047864,20.9,123487.0,1749623.0,234.0
GU,216.0,3696.0,0.058442,17.1,,,
HI,2083.0,33614.0,0.061968,16.1,12112.91,169308.0,1.0
IA,5899.81,117918.0,0.050033,20.0,35797.38,508112.0,327.0
ID,2836.13,58350.0,0.048605,20.6,17965.12,316281.0,187.0
IL,23560.91,515858.0,0.045673,21.9,135615.41,1844539.0,918.0
IN,6023.7,314920.0,0.019128,52.3,67373.75,1032506.0,416.0
KS,4896.37,123914.0,0.039514,25.3,36960.99,483170.0,291.0
KY,6935.32,172400.0,0.040228,24.9,42971.55,656427.0,171.0
LA,5868.71,149176.0,0.039341,25.4,48863.0,707818.0,189.0
MA,8148.05,311480.0,0.026159,38.2,77630.24,914958.0,399.0
MD,9530.97,188382.0,0.050594,19.8,62754.26,890122.0,25.0
ME,2088.81,,,,15158.4,172543.0,266.0
MI,11891.25,354254.0,0.033567,29.8,85912.78,1426491.0,882.0
MN,9514.92,237600.0,0.040046,25.0,59168.55,869967.0,550.0
MO,9421.97,225428.0,0.041796,23.9,69785.52,891248.0,564.0
MP,50.0,1680.0,0.029762,33.6,539.0,9217.0,1.0
MS,5411.09,121594.0,0.044501,22.5,33691.86,436523.0,152.0
MT,1044.7,34286.0,0.03047,32.8,10809.09,148897.0,397.0
NC,12516.17,362012.0,0.034574,28.9,100994.13,1544289.0,335.0
ND,1062.93,25928.0,0.040995,24.4,9639.1,119033.0,170.0
NE,3121.06,88396.0,0.035308,28.3,24052.26,329162.0,272.0
NH,2276.61,51428.0,0.044268,22.6,14494.4,164915.0,196.0
NJ,19520.33,436664.0,0.044703,22.4,117993.6,1392463.0,672.0
NM,2622.46,96850.0,0.027078,36.9,21595.7,311609.0,152.0
NV,3966.85,102278.0,0.038785,25.8,22532.96,484588.0,20.0
NY,32978.86,900656.0,0.036616,27.3,217521.49,2507775.0,1059.0
OH,12701.42,482846.0,0.026305,38.0,100653.1,1675300.0,1048.0
OK,3293.0,204658.0,0.01609,62.2,42751.11,698582.0,539.0
OR,3378.74,151650.0,0.02228,44.9,30949.07,537686.0,215.0
PA,22019.08,568954.0,0.038701,25.8,129545.28,1692829.0,779.0
PR,5039.0,186872.0,0.026965,37.1,24591.0,240910.0,1.0
RI,1688.53,41160.0,0.041024,24.4,10710.0,136154.0,64.0
SC,5630.68,190260.0,0.029595,33.8,57242.82,793860.0,94.0
SD,1221.52,36498.0,0.033468,29.9,10315.3,140948.0,155.0
TN,8379.69,230738.0,0.036317,27.5,66416.73,1004625.0,148.0
TX,32030.17,897814.0,0.035676,28.0,376576.4,5531236.0,1207.0
UT,3319.53,146930.0,0.022593,44.3,33536.73,689883.0,155.0
VA,11358.62,308148.0,0.036861,27.1,94034.91,1258852.0,132.0
VI,96.0,1958.0,0.04903,20.4,908.0,10312.0,2.0
VT,,,,,7174.27,82503.0,134.0
WA,7166.55,254146.0,0.028199,35.5,62532.35,1093572.0,330.0
WI,8688.46,,,,59546.33,814202.0,454.0
WV,3234.38,83182.0,0.038883,25.7,18667.08,244054.0,55.0
WY,657.6,24264.0,0.027102,36.9,7451.54,91036.0,61.0
